icdv ; dx ; chapter ; subchapter ; code_range_start ; code_range_end ; pattern            ; description
9    ; 1  ;         ; 260-269    ; 260              ; 269            ; ^26                ; 260-269 Nutritional Deficiencies
9    ; 1  ;         ; 270-279    ; 270              ; 279            ; ^27                ; 270-279 Other Metabolic Disorders And Immunity Disorders
9    ; 1  ;         ; 280        ; 280              ; 280            ; ^280               ; 280 Iron deficiency anemias
9    ; 1  ;         ; 281        ; 281              ; 281            ; ^281               ; 281 Other deficiency anemias
9    ; 1  ;         ; 282        ; 282              ; 282            ; ^282               ; 282 Hereditary hemolytic anemias
9    ; 1  ;         ; 283        ; 283              ; 283            ; ^283               ; 283 Acquired hemolytic anemias
9    ; 1  ;         ; 284        ; 284              ; 284            ; ^284               ; 284 Aplastic anemia and other bone marrow failure syndromes
9    ; 1  ;         ; 285        ; 285              ; 285            ; ^285               ; 285 Other and unspecified anemias
9    ; 1  ;         ; 286        ; 286              ; 286            ; ^286               ; 286 Coagulation defects
9    ; 1  ;         ; 287        ; 287              ; 287            ; ^287               ; 287 Purpura and other hemorrhagic conditions
9    ; 1  ;         ; 288        ; 288              ; 288            ; ^288               ; 288 Diseases of white blood cells
9    ; 1  ;         ; 289        ; 289              ; 289            ; ^289               ; 289 Other diseases of blood and blood-forming organs
9    ; 1  ;         ; 290-294    ; 290              ; 294            ; ^29[0-4]           ; 290-294 Organic Psychotic Conditions
9    ; 1  ;         ; 295-299    ; 295              ; 299            ; ^29[5-9]           ; 295-299 Other Psychoses
9    ; 1  ;         ; 300-316    ; 300              ; 316            ; ^3(0|1[0-6])       ; 300-316 Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders
9    ; 1  ;         ; 317-319    ; 317              ; 319            ; ^31[7-9]           ; 317-319 Intellectual Disabilities
9    ; 1  ;         ; 320-327    ; 320              ; 327            ; ^32                ; 320-327 Inflammatory Diseases Of The Central Nervous System
9    ; 1  ;         ; 330-337    ; 330              ; 337            ; ^33[0-7]           ; 330-337 Hereditary And Degenerative Diseases Of The Central Nervous System
9    ; 1  ;         ; 338-338    ; 338              ; 338            ; ^338               ; 338-338 Pain
9    ; 1  ;         ; 339-339    ; 339              ; 339            ; ^339               ; 339-339 Other Headache Syndromes
9    ; 1  ;         ; 340-349    ; 340              ; 349            ; ^34                ; 340-349 Other Disorders Of The Central Nervous System
9    ; 1  ;         ; 350-359    ; 350              ; 359            ; ^35                ; 350-359 Disorders Of The Peripheral Nervous System
9    ; 1  ;         ; 360-379    ; 360              ; 379            ; ^3[6-7]            ; 360-379 Disorders Of The Eye And Adnexa
9    ; 1  ;         ; 380-389    ; 380              ; 389            ; ^38                ; 380-389 Diseases Of The Ear And Mastoid Process
9    ; 1  ;         ; 390-392    ; 390              ; 392            ; ^39[0-2]           ; 390-392 Acute Rheumatic Fever
9    ; 1  ;         ; 393-398    ; 393              ; 398            ; ^39[3-8]           ; 393-398 Chronic Rheumatic Heart Disease
9    ; 1  ;         ; 401-405    ; 401              ; 405            ; ^40[1-5]           ; 401-405 Hypertensive Disease
9    ; 1  ;         ; 410-414    ; 410              ; 414            ; ^41[0-4]           ; 410-414 Ischemic Heart Disease
9    ; 1  ;         ; 415-417    ; 415              ; 417            ; ^41[5-7]           ; 415-417 Diseases Of Pulmonary Circulation
9    ; 1  ;         ; 420-429    ; 420              ; 429            ; ^42                ; 420-429 Other Forms Of Heart Disease
9    ; 1  ;         ; 430-438    ; 430              ; 438            ; ^43                ; 430-438 Cerebrovascular Disease
9    ; 1  ;         ; 440-449    ; 440              ; 449            ; ^44                ; 440-449 Diseases Of Arteries, Arterioles, And Capillaries
9    ; 1  ;         ; 451-459    ; 451              ; 459            ; ^45                ; 451-459 Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System
9    ; 1  ;         ; 460-466    ; 460              ; 466            ; ^46                ; 460-466 Acute Respiratory Infections
9    ; 1  ;         ; 470-478    ; 470              ; 478            ; ^47                ; 470-478 Other Diseases Of Upper Respiratory Tract
9    ; 1  ;         ; 480-488    ; 480              ; 488            ; ^48                ; 480-488 Pneumonia And Influenza
9    ; 1  ;         ; 490-496    ; 490              ; 496            ; ^49                ; 490-496 Chronic Obstructive Pulmonary Disease And Allied Conditions
9    ; 1  ;         ; 500-508    ; 500              ; 508            ; ^50                ; 500-508 Pneumoconioses And Other Lung Diseases Due To External Agents
9    ; 1  ;         ; 510-519    ; 510              ; 519            ; ^51                ; 510-519 Other Diseases Of Respiratory System
9    ; 1  ;         ; 520-529    ; 520              ; 529            ; ^52                ; 520-529 Diseases Of Oral Cavity, Salivary Glands, And Jaws
9    ; 1  ;         ; 530-539    ; 530              ; 539            ; ^53                ; 530-539 Diseases Of Esophagus, Stomach, And Duodenum
9    ; 1  ;         ; 540-543    ; 540              ; 543            ; ^54                ; 540-543 Appendicitis
9    ; 1  ;         ; 550-553    ; 550              ; 553            ; ^55[0-3]           ; 550-553 Hernia Of Abdominal Cavity
9    ; 1  ;         ; 555-558    ; 555              ; 558            ; ^55[5-8]           ; 555-558 Noninfective Enteritis And Colitis
9    ; 1  ;         ; 560-569    ; 560              ; 569            ; ^56                ; 560-569 Other Diseases Of Intestines And Peritoneum
9    ; 1  ;         ; 570-579    ; 570              ; 579            ; ^57                ; 570-579 Other Diseases Of Digestive System
9    ; 1  ;         ; 580-589    ; 580              ; 589            ; ^58                ; 580-589 Nephritis, Nephrotic Syndrome, And Nephrosis
9    ; 1  ;         ; 590-599    ; 590              ; 599            ; ^59                ; 590-599 Other Diseases Of Urinary System
9    ; 1  ;         ; 600-608    ; 600              ; 608            ; ^60                ; 600-608 Diseases Of Male Genital Organs
9    ; 1  ;         ; 610-612    ; 610              ; 612            ; ^61[0-2]           ; 610-612 Disorders Of Breast
9    ; 1  ;         ; 614-616    ; 614              ; 616            ; ^61[4-6]           ; 614-616 Inflammatory Disease Of Female Pelvic Organs
9    ; 1  ;         ; 617-629    ; 617              ; 629            ; ^6(1[7-9]|2)       ; 617-629 Other Disorders Of Female Genital Tract
9    ; 1  ;         ; 630-639    ; 630              ; 639            ; ^63                ; 630-639 Ectopic And Molar Pregnancy And Other Pregnancy With Abortive Outcome
9    ; 1  ;         ; 640-649    ; 640              ; 649            ; ^64                ; 640-649 Complications Mainly Related To Pregnancy
9    ; 1  ;         ; 650-659    ; 650              ; 659            ; ^65                ; 650-659 Normal Delivery, And Other Indications For Care In Pregnancy, Labor, And Delivery
9    ; 1  ;         ; 660-669    ; 660              ; 669            ; ^66                ; 660-669 Complications Occurring Mainly In The Course Of Labor And Delivery
9    ; 1  ;         ; 670-677    ; 670              ; 677            ; ^67[0-7]           ; 670-677 Complications Of The Puerperium
9    ; 1  ;         ; 678-679    ; 678              ; 679            ; ^67[8-9]           ; 678-679 Other Maternal And Fetal Complications
9    ; 1  ;         ; 680-686    ; 680              ; 686            ; ^68                ; 680-686 Infections Of Skin And Subcutaneous Tissue
9    ; 1  ;         ; 690-698    ; 690              ; 698            ; ^69                ; 690-698 Other Inflammatory Conditions Of Skin And Subcutaneous Tissue
9    ; 1  ;         ; 700-709    ; 700              ; 709            ; ^70                ; 700-709 Other Diseases Of Skin And Subcutaneous Tissue710-719  Arthropathies And Related Disorders
9    ; 1  ;         ; 710-719    ; 700              ;                ; ^71                ; 710-719 Arthropathies and Related Disorders
9    ; 1  ;         ; 720-724    ; 720              ; 724            ; ^72[0-4]           ; 720-724 Dorsopathies
9    ; 1  ;         ; 725-729    ; 725              ; 729            ; ^72[5-9]           ; 725-729 Rheumatism, Excluding The Back
9    ; 1  ;         ; 730-739    ; 730              ; 739            ; ^73                ; 730-739 Osteopathies, Chondropathies, And Acquired Musculoskeletal Deformities
9    ; 1  ;         ; 740        ; 740              ; 740            ; ^740               ; 740 Anencephalus and similar anomalies
9    ; 1  ;         ; 741        ; 741              ; 741            ; ^741               ; 741 Spina bifida
9    ; 1  ;         ; 742        ; 742              ; 742            ; ^742               ; 742 Other congenital anomalies of nervous system
9    ; 1  ;         ; 743        ; 743              ; 743            ; ^743               ; 743 Congenital anomalies of eye
9    ; 1  ;         ; 744        ; 744              ; 744            ; ^744               ; 744 Congenital anomalies of ear face and neck
9    ; 1  ;         ; 745        ; 745              ; 745            ; ^745               ; 745 Bulbus cordis anomalies and anomalies of cardiac septal closure
9    ; 1  ;         ; 746        ; 746              ; 746            ; ^746               ; 746 Other congenital anomalies of heart
9    ; 1  ;         ; 747        ; 747              ; 747            ; ^747               ; 747 Other congenital anomalies of circulatory system
9    ; 1  ;         ; 748        ; 748              ; 748            ; ^748               ; 748 Congenital anomalies of respiratory system
9    ; 1  ;         ; 749        ; 749              ; 749            ; ^749               ; 749 Cleft palate and cleft lip
9    ; 1  ;         ; 750        ; 750              ; 750            ; ^750               ; 750 Other congenital anomalies of upper alimentary tract
9    ; 1  ;         ; 751        ; 751              ; 751            ; ^751               ; 751 Other congenital anomalies of digestive system
9    ; 1  ;         ; 752        ; 752              ; 752            ; ^752               ; 752 Congenital anomalies of genital organs
9    ; 1  ;         ; 753        ; 753              ; 753            ; ^753               ; 753 Congenital anomalies of urinary system
9    ; 1  ;         ; 754        ; 754              ; 754            ; ^754               ; 754 Certain congenital musculoskeletal deformities
9    ; 1  ;         ; 755        ; 755              ; 755            ; ^755               ; 755 Other congenital anomalies of limbs
9    ; 1  ;         ; 756        ; 756              ; 756            ; ^756               ; 756 Other congenital musculoskeletal anomalies
9    ; 1  ;         ; 757        ; 757              ; 757            ; ^757               ; 757 Congenital anomalies of the integument
9    ; 1  ;         ; 758        ; 758              ; 758            ; ^758               ; 758 Chromosomal anomalies
9    ; 1  ;         ; 759        ; 759              ; 759            ; ^759               ; 759 Other and unspecified congenital anomalies
9    ; 1  ;         ; 760-763    ; 760              ; 763            ; ^76[0-3]           ; 760-763 Maternal Causes Of Perinatal Morbidity And Mortality
9    ; 1  ;         ; 764-779    ; 764              ; 779            ; ^7(6[4-9]|7)       ; 764-779 Other Conditions Originating In The Perinatal Period
9    ; 1  ;         ; 780-789    ; 780              ; 789            ; ^78                ; 780-789 Symptoms
9    ; 1  ;         ; 790-796    ; 790              ; 796            ; ^79[0-6]           ; 790-796 Nonspecific Abnormal Findings
9    ; 1  ;         ; 797-799    ; 797              ; 799            ; ^79[7-9]           ; 797-799 Ill-Defined And Unknown Causes Of Morbidity And Mortality
9    ; 1  ;         ; 800-804    ; 800              ; 804            ; ^80[0-4]           ; 800-804 Fracture Of Skull
9    ; 1  ;         ; 805-809    ; 805              ; 809            ; ^80[5-9]           ; 805-809 Fracture Of Spine And Trunk
9    ; 1  ;         ; 810-819    ; 810              ; 819            ; ^81                ; 810-819 Fracture Of Upper Limb
9    ; 1  ;         ; 820-829    ; 820              ; 829            ; ^82                ; 820-829 Fracture Of Lower Limb
9    ; 1  ;         ; 830-839    ; 830              ; 839            ; ^83                ; 830-839 Dislocation
9    ; 1  ;         ; 840-848    ; 840              ; 848            ; ^84                ; 840-848 Sprains And Strains Of Joints And Adjacent Muscles
9    ; 1  ;         ; 850-854    ; 850              ; 854            ; ^85                ; 850-854 Intracranial Injury, Excluding Those With Skull Fracture
9    ; 1  ;         ; 860-869    ; 860              ; 869            ; ^86                ; 860-869 Internal Injury Of Chest, Abdomen, And Pelvis
9    ; 1  ;         ; 870-879    ; 870              ; 879            ; ^87                ; 870-879 Open Wound Of Head, Neck, And Trunk
9    ; 1  ;         ; 880-887    ; 880              ; 887            ; ^88                ; 880-887 Open Wound Of Upper Limb
9    ; 1  ;         ; 890-897    ; 890              ; 897            ; ^89                ; 890-897 Open Wound Of Lower Limb
9    ; 1  ;         ; 900-904    ; 900              ; 904            ; ^90[0-4]           ; 900-904 Injury To Blood Vessels
9    ; 1  ;         ; 905-909    ; 905              ; 909            ; ^90[5-9]           ; 905-909 Late Effects Of Injuries, Poisonings, Toxic Effects, And Other External Causes
9    ; 1  ;         ; 910-919    ; 910              ; 919            ; ^91                ; 910-919 Superficial Injury
9    ; 1  ;         ; 920-924    ; 920              ; 924            ; ^92[0-4]           ; 920-924 Contusion With Intact Skin Surface
9    ; 1  ;         ; 925-929    ; 925              ; 929            ; ^92[5-9]           ; 925-929 Crushing Injury
9    ; 1  ;         ; 930-939    ; 930              ; 939            ; ^93                ; 930-939 Effects Of Foreign Body Entering Through Orifice
9    ; 1  ;         ; 940-949    ; 940              ; 949            ; ^94                ; 940-949 Burns
9    ; 1  ;         ; 950-957    ; 950              ; 957            ; ^95[0-7]           ; 950-957 Injury To Nerves And Spinal Cord
9    ; 1  ;         ; 958-959    ; 958              ; 959            ; ^95[8-9]           ; 958-959 Certain Traumatic Complications And Unspecified Injuries
9    ; 1  ;         ; 960-979    ; 960              ; 979            ; ^9[6-7]            ; 960-979 Poisoning By Drugs, Medicinals And Biological Substances
9    ; 1  ;         ; 980-989    ; 980              ; 989            ; ^98                ; 980-989 Toxic Effects Of Substances Chiefly Nonmedicinal As To Source
9    ; 1  ;         ; 990-995    ; 990              ; 995            ; ^99[0-5]           ; 990-995 Other And Unspecified Effects Of External Causes
9    ; 1  ;         ; 996-999    ; 996              ; 999            ; ^99[6-9]           ; 996-999 Complications Of Surgical And Medical Care, Not Elsewhere Classified
9    ; 1  ;         ; V01-V09    ; V01              ; V09            ; ^V0                ; V01-V09 Persons With Potential Health Hazards Related To Communicable Diseases
9    ; 1  ;         ; V10-V19    ; V10              ; V19            ; ^V1                ; V10-V19 Persons With Potential Health Hazards Related To Personal And Family History
9    ; 1  ;         ; V20-V29    ; V20              ; V29            ; ^V2                ; V20-V29 Persons Encountering Health Services In Circumstances Related To Reproduction And Development
9    ; 1  ;         ; V30-V39    ; V30              ; V39            ; ^V3                ; V30-V39 Liveborn Infants According To Type Of Birth
9    ; 1  ;         ; V40-V49    ; V40              ; V49            ; ^V4                ; V40-V49 Persons With A Condition Influencing Their Health Status
9    ; 1  ;         ; V50-V59    ; V50              ; V59            ; ^V5                ; V50-V59 Persons Encountering Health Services For Specific Procedures And Aftercare
9    ; 1  ;         ; V60-V69    ; V60              ; V69            ; ^V6                ; V60-V69 Persons Encountering Health Services In Other Circumstances
9    ; 1  ;         ; V70-V82    ; V70              ; V82            ; ^V(7|8[0-2])       ; V70-V82 Persons Without Reported Diagnosis Encountered During Examination And Investigation Of Individuals And Populations
9    ; 1  ;         ; V83-V84    ; V83              ; V84            ; ^V8[3-4]           ; V83-V84 Genetics
9    ; 1  ;         ; V85-V85    ; V85              ; V85            ; ^V85               ; V85-V85 Body Mass Index
9    ; 1  ;         ; V86-V86    ; V86              ; V86            ; ^V86               ; V86-V86 Estrogen Receptor Status
9    ; 1  ;         ; V87-V87    ; V87              ; V87            ; ^V87               ; V87-V87 Other Specified Personal Exposures And History Presenting Hazards To Health
9    ; 1  ;         ; V88-V88    ; V88              ; V88            ; ^V88               ; V88-V88 Acquired Absence Of Other Organs And Tissue
9    ; 1  ;         ; V89-V89    ; V89              ; V89            ; ^V89               ; V89-V89 Other Suspected Conditions Not Found
9    ; 1  ;         ; V90-V90    ; V90              ; V90            ; ^V90               ; V90-V90 Retained Foreign Body
9    ; 1  ;         ; V91-V91    ; V91              ; V91            ; ^V91               ; V91-V91 Multiple Gestation Placenta Status
9    ; 1  ;         ; E000-E000  ; E000             ; E000           ; ^E000              ; E000-E000 External Cause Status
9    ; 1  ;         ; E001-E030  ; E001             ; E030           ; ^E0[0-3]           ; E001-E030 Activity
9    ; 1  ;         ; E800-E807  ; E800             ; E807           ; ^E80               ; E800-E807 Railway Accidents
9    ; 1  ;         ; E810-E819  ; E810             ; E819           ; ^E81               ; E810-E819 Motor Vehicle Traffic Accidents
9    ; 1  ;         ; E820-E825  ; E820             ; E825           ; ^E82[0-5]          ; E820-E825 Motor Vehicle Nontraffic Accidents
9    ; 1  ;         ; E826-E829  ; E826             ; E829           ; ^E82[6-9]          ; E826-E829 Other Road Vehicle Accidents
9    ; 1  ;         ; E830-E838  ; E830             ; E838           ; ^E83               ; E830-E838 Water Transport Accidents
9    ; 1  ;         ; E840-E845  ; E840             ; E845           ; ^E84[0-5]          ; E840-E845 Air And Space Transport Accidents
9    ; 1  ;         ; E846-E849  ; E846             ; E849           ; ^E84[6-9]          ; E846-E849 Vehicle Accidents, Not Elsewhere Classifiable
9    ; 1  ;         ; E850-E858  ; E850             ; E858           ; ^E85               ; E850-E858 Accidental Poisoning By Drugs, Medicinal Substances, And Biologicals
9    ; 1  ;         ; E860-E869  ; E860             ; E869           ; ^E86               ; E860-E869 Accidental Poisoning By Other Solid And Liquid Substances, Gases, And Vapors
9    ; 1  ;         ; E870-E876  ; E870             ; E876           ; ^E87[0-6]          ; E870-E876 Misadventures To Patients During Surgical And Medical Care
9    ; 1  ;         ; E878-E879  ; E878             ; E879           ; ^E87[8-9]          ; E878-E879 Surgical And Medical Procedures As The Cause Of Abnormal Reaction Of Patient Or Later Complication, Without Mention Of Misadventure At The Time Of Procedure
9    ; 1  ;         ; E880-E888  ; E880             ; E888           ; ^E88               ; E880-E888 Accidental Falls
9    ; 1  ;         ; E890-E899  ; E890             ; E899           ; ^E89               ; E890-E899 Accidents Caused By Fire And Flames
9    ; 1  ;         ; E900-E909  ; E900             ; E909           ; ^E90               ; E900-E909 Accidents Due To Natural And Environmental Factors
9    ; 1  ;         ; E910-E915  ; E910             ; E915           ; ^E91[0-5]          ; E910-E915 Accidents Caused By Submersion, Suffocation, And Foreign Bodies
9    ; 1  ;         ; E916-E928  ; E916             ; E928           ; ^E9(1[6-9]|2[0-8]) ; E916-E928 Other Accidents
9    ; 1  ;         ; E929-E929  ; E929             ; E929           ; ^E929              ; E929-E929 Late Effects Of Accidental Injury
9    ; 1  ;         ; E930-E949  ; E930             ; E949           ; ^E9(3|4)           ; E930-E949 Drugs, Medicinal And Biological Substances Causing Adverse Effects In Therapeutic Use
9    ; 1  ;         ; E950-E959  ; E950             ; E959           ; ^E95               ; E950-E959 Suicide And Self-Inflicted Injury
9    ; 1  ;         ; E960-E969  ; E960             ; E969           ; ^E96               ; E960-E969 Homicide And Injury Purposely Inflicted By Other Persons
9    ; 1  ;         ; E970-E979  ; E970             ; E979           ; ^E97               ; E970-E979 Legal Intervention
9    ; 1  ;         ; E980-E989  ; E980             ; E989           ; ^E98               ; E980-E989 Injury Undetermined Whether Accidentally Or Purposely Inflicted
9    ; 1  ;         ; E990-E999  ; E990             ; E999           ; ^E99               ; E990-E999 Injury Resulting From Operations Of War
9    ; 0  ; 0.      ;            ; 00               ; 00             ; ^00                ; 0. Procedures and interventions, not elsewhere classified
9    ; 0  ; 1.      ;            ; 01               ; 05             ; ^0[1-5]            ; 1. Operations on the nervous system
9    ; 0  ; 2.      ;            ; 06               ; 07             ; ^0[6-7]            ; 2. Operations on the endocrine system
9    ; 0  ; 3.      ;            ; 08               ; 16             ; ^(0[8-9]|1[0-6])   ; 3. Operations on the eye
9    ; 0  ; 3A.     ;            ; 17               ; 17             ; ^17                ; 3A. Other miscellaneous diagnostic and therapeutic procedures
9    ; 0  ; 4.      ;            ; 18               ; 20             ; ^(1[8-9]|20)       ; 4. Operations on the ear
9    ; 0  ; 5.      ;            ; 21               ; 29             ; ^2[1-9]            ; 5. Operations on the nose, mouth, and pharynx
9    ; 0  ; 6.      ;            ; 30               ; 34             ; ^3[0-4]            ; 6. Operations on the respiratory system
9    ; 0  ; 7.      ;            ; 35               ; 39             ; ^3[5-9]            ; 7. Operations on the cardiovascular system
9    ; 0  ; 8.      ;            ; 40               ; 41             ; ^4[0-1]            ; 8. Operations on the hemic and lymphatic system
9    ; 0  ; 9.      ;            ; 42               ; 54             ; ^(4[2-9]|5[0-4])   ; 9. Operations on the digestive system
9    ; 0  ; 10.     ;            ; 55               ; 59             ; ^5[5-9]            ; 10. Operations on the urinary system
9    ; 0  ; 11.     ;            ; 60               ; 64             ; ^6[0-4]            ; 11. Operations on the male genital organs
9    ; 0  ; 12.     ;            ; 65               ; 71             ; ^(6[5-9]|7[0-1])   ; 12. Operations on the female genital organs
9    ; 0  ; 13.     ;            ; 72               ; 75             ; ^7[2-5]            ; 13. Obstetrical procedures
9    ; 0  ; 14.     ;            ; 76               ; 84             ; ^(7[6-9]|8[0-4])   ; 14. Operations on the musculoskeletal system
9    ; 0  ; 15.     ;            ; 85               ; 86             ; ^8[5-6]            ; 15. Operations on the integumentary system
9    ; 0  ; 16.     ;            ; 87               ; 99             ; ^(8[7-9]|9)        ; 16. Miscellaneous diagnostic and therapeutic procedures
10   ; 1  ; I       ;            ; A00              ; B99            ; ^(A|B)             ; I: Certain infectious and parasitic diseases
10   ; 1  ;         ; A00-A09    ; A00              ; A09            ; ^A0                ; A00-A09 Intestinal infectious diseases
10   ; 1  ;         ; A15-A19    ; A15              ; A19            ; ^A1[5-9]           ; A15-A19 Tuberculosis
10   ; 1  ;         ; A20-A28    ; A20              ; A28            ; ^A2                ; A20-A28 Certain zoonotic bacterial diseases
10   ; 1  ;         ; A30-A49    ; A30              ; A49            ; ^A(3|4)            ; A30-A49 Other bacterial diseases
10   ; 1  ;         ; A50-A64    ; A50              ; A64            ; ^A(5|6[0-4])       ; A50-A64 Infections with a predominantly sexual mode of transmission
10   ; 1  ;         ; A65-A69    ; A65              ; A69            ; ^A6[5-9]           ; A65-A69 Other spirochaetal diseases
10   ; 1  ;         ; A70-A74    ; A70              ; A74            ; ^A7[0-4]           ; A70-A74 Other diseases caused by chlamydiae
10   ; 1  ;         ; A75-A79    ; A75              ; A79            ; ^A7[5-9]           ; A75-A79 Rickettsioses
10   ; 1  ;         ; A80-A89    ; A80              ; A89            ; ^A8                ; A80-A89 Viral infections of the central nervous system
10   ; 1  ;         ; A92-A99    ; A92              ; A99            ; ^A9                ; A92-A99 Arthropod-borne viral fevers and viral haemorrhagic fevers
