U50         Team ball sports
V13.49      Pedal cyclist injured in collision with car, pick-up truck or van, driver, traffic accident, during unspecified activity
V13.5       Pedal cyclist injured in collision with car, pick-up truck or van, passenger injured in traffic accident
V13.50      Pedal cyclist injured in collision with car, pick-up truck or van, passenger, traffic accident, while engaged in sports activity
V13.51      Pedal cyclist injured in collision with car, pick-up truck or van, passenger, traffic accident, while engaged in leisure activity
V13.52      Pedal cyclist injured in collision with car, pick-up truck or van, passenger, traffic accident, while working for an income
V13.53      Pedal cyclist injured in collision with car, pick-up truck or van, passenger, traffic accident, while engaged in other types of work
V13.54      Pedal cyclist injured in collision with car, pick-up truck or van, passenger, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V13.58      Pedal cyclist injured in collision with car, pick-up truck or van, passenger, traffic accident, while engaged in other specified activities
V13.59      Pedal cyclist injured in collision with car, pick-up truck or van, passenger, traffic accident, during unspecified activity
V13.9       Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist injured in traffic accident
V13.90      Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist, traffic accident, while engaged in sports activity
V13.91      Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist, traffic accident, while engaged in leisure activity
V13.92      Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist, traffic accident, while working for an income
V13.93      Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist, traffic accident, while engaged in other types of work
V13.94      Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V13.98      Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist, traffic accident, while engaged in other specified activities
V13.99      Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist, traffic accident, during unspecified activity
V14         Pedal cyclist injured in collision with heavy transport vehicle or bus
V14.0       Pedal cyclist injured in collision with heavy transport vehicle or bus, driver injured in nontraffic accident
V14.00      Pedal cyclist injured in collision with heavy transport vehicle or bus, driver, nontraffic accident, while engaged in sports activity
V14.01      Pedal cyclist injured in collision with heavy transport vehicle or bus, driver, nontraffic accident, while engaged in leisure activity
V14.02      Pedal cyclist injured in collision with heavy transport vehicle or bus, driver, nontraffic accident, while working for an income
V14.03      Pedal cyclist injured in collision with heavy transport vehicle or bus, driver, nontraffic accident, while engaged in other types of work
V14.04      Pedal cyclist injured in collision with heavy transport vehicle or bus, driver, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V14.08      Pedal cyclist injured in collision with heavy transport vehicle or bus, driver, nontraffic accident, while engaged in other specified activities
V14.09      Pedal cyclist injured in collision with heavy transport vehicle or bus, driver, nontraffic accident, during unspecified activity
V14.1       Pedal cyclist injured in collision with heavy transport vehicle or bus, passenger injured in nontraffic accident
V14.10      Pedal cyclist injured in collision with heavy transport vehicle or bus, passenger, nontraffic accident, while engaged in sports activity
V14.11      Pedal cyclist injured in collision with heavy transport vehicle or bus, passenger, nontraffic accident, while engaged in leisure activity
V14.12      Pedal cyclist injured in collision with heavy transport vehicle or bus, passenger, nontraffic accident, while working for an income
V14.13      Pedal cyclist injured in collision with heavy transport vehicle or bus, passenger, nontraffic accident, while engaged in other types of work
V14.14      Pedal cyclist injured in collision with heavy transport vehicle or bus, passenger, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V14.18      Pedal cyclist injured in collision with heavy transport vehicle or bus, passenger, nontraffic, while engaged in other specified activities accident
V14.19      Pedal cyclist injured in collision with heavy transport vehicle or bus, passenger, nontraffic, during unspecified activity accident
V14.2       Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist injured in nontraffic accident
V14.20      Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist, nontraffic accident, while engaged in sports activity
V14.21      Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist, nontraffic accident, while engaged in leisure activity
V14.22      Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist, nontraffic accident, while working for an income
V14.23      Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist, nontraffic accident, while engaged in other types of work
V14.24      Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V14.28      Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist, nontraffic accident, while engaged in other specified activities
V14.29      Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist, nontraffic accident, during unspecified activity
V14.3       Pedal cyclist injured in collision with heavy transport vehicle or bus, person injured while boarding or alighting
V14.30      Pedal cyclist injured in collision with heavy transport vehicle or bus, while boarding or alighting, while engaged in sports activity
V14.31      Pedal cyclist injured in collision with heavy transport vehicle or bus, while boarding or alighting, while engaged in leisure activity
V14.32      Pedal cyclist injured in collision with heavy transport vehicle or bus, while boarding or alighting, while working for an income
V14.33      Pedal cyclist injured in collision with heavy transport vehicle or bus, while boarding or alighting, while engaged in other types of work
V14.34      Pedal cyclist injured in collision with heavy transport vehicle or bus, while boarding or alighting, while resting, sleeping, eating or engaging in other vital activities
V14.38      Pedal cyclist injured in collision with heavy transport vehicle or bus, while boarding or alighting, while engaged in other specified activities
V14.39      Pedal cyclist injured in collision with heavy transport vehicle or bus, while boarding or alighting, during unspecified activity
V14.4       Pedal cyclist injured in collision with heavy transport vehicle or bus, driver injured in traffic accident
V14.40      Pedal cyclist injured in collision with heavy transport vehicle or bus, driver, traffic accident, while engaged in sports activity
V14.41      Pedal cyclist injured in collision with heavy transport vehicle or bus, driver, traffic accident, while engaged in leisure activity
V14.42      Pedal cyclist injured in collision with heavy transport vehicle or bus, driver, traffic accident, while working for an income
V14.43      Pedal cyclist injured in collision with heavy transport vehicle or bus, driver, traffic accident, while engaged in other types of work
V14.44      Pedal cyclist injured in collision with heavy transport vehicle or bus, driver, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V14.48      Pedal cyclist injured in collision with heavy transport vehicle or bus, driver, traffic accident, while engaged in other specified activities
V14.49      Pedal cyclist injured in collision with heavy transport vehicle or bus, driver, traffic accident, during unspecified activity
V14.5       Pedal cyclist injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident
V14.50      Pedal cyclist injured in collision with heavy transport vehicle or bus, passenger, traffic accident, while engaged in sports activity
V14.51      Pedal cyclist injured in collision with heavy transport vehicle or bus, passenger, traffic accident, while engaged in leisure activity
V14.52      Pedal cyclist injured in collision with heavy transport vehicle or bus, passenger, traffic accident, while working for an income
V14.53      Pedal cyclist injured in collision with heavy transport vehicle or bus, passenger, traffic accident, while engaged in other types of work
V14.54      Pedal cyclist injured in collision with heavy transport vehicle or bus, passenger, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V14.58      Pedal cyclist injured in collision with heavy transport vehicle or bus, passenger, traffic accident, while engaged in other specified activities
V14.59      Pedal cyclist injured in collision with heavy transport vehicle or bus, passenger, traffic accident, during unspecified activity
V14.9       Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist injured in traffic accident
V14.90      Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist, traffic accident, while engaged in sports activity
V14.91      Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist, traffic accident, while engaged in leisure activity
V14.92      Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist, traffic accident, while working for an income
V14.93      Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist, traffic accident, while engaged in other types of work
V14.94      Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V14.98      Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist, traffic accident, while engaged in other specified activities
V14.99      Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist, traffic accident, during unspecified activity
V15         Pedal cyclist injured in collision with railway train or railway vehicle
V15.0       Pedal cyclist injured in collision with railway train or railway vehicle, driver injured in nontraffic accident
V15.00      Pedal cyclist injured in collision with railway train or railway vehicle, driver, nontraffic accident, while engaged in sports activity
V15.01      Pedal cyclist injured in collision with railway train or railway vehicle, driver, nontraffic accident, while engaged in leisure activity
V15.02      Pedal cyclist injured in collision with railway train or railway vehicle, driver, nontraffic accident, while working for an income
V15.03      Pedal cyclist injured in collision with railway train or railway vehicle, driver, nontraffic accident, while engaged in other types of work
V15.04      Pedal cyclist injured in collision with railway train or railway vehicle, driver, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V15.08      Pedal cyclist injured in collision with railway train or railway vehicle, driver, nontraffic accident, while engaged in other specified activities
V15.09      Pedal cyclist injured in collision with railway train or railway vehicle, driver, nontraffic accident, during unspecified activity
V15.1       Pedal cyclist injured in collision with railway train or railway vehicle, passenger injured in nontraffic accident
V15.10      Pedal cyclist injured in collision with railway train or railway vehicle, passenger, nontraffic accident, while engaged in sports activity
V15.11      Pedal cyclist injured in collision with railway train or railway vehicle, passenger, nontraffic accident, while engaged in leisure activity
V15.12      Pedal cyclist injured in collision with railway train or railway vehicle, passenger, nontraffic accident, while working for an income
V15.13      Pedal cyclist injured in collision with railway train or railway vehicle, passenger, nontraffic accident, while engaged in other types of work
V15.14      Pedal cyclist injured in collision with railway train or railway vehicle, passenger, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V15.18      Pedal cyclist injured in collision with railway train or railway vehicle, passenger, nontraffic accident, while engaged in other specified activities
V15.19      Pedal cyclist injured in collision with railway train or railway vehicle, passenger, nontraffic accident, during unspecified activity
V15.2       Pedal cyclist injured in collision with railway train or railway vehicle, unspecified pedal cyclist injured in nontraffic accident
V15.20      Pedal cyclist injured in collision with railway train or railway vehicle, unspecified pedal cyclist, nontraffic accident, while engaged in sports activity
V15.21      Pedal cyclist injured in collision with railway train or railway vehicle, unspecified pedal cyclist, nontraffic accident, while engaged in leisure activity
V15.22      Pedal cyclist injured in collision with railway train or railway vehicle, unspecified pedal cyclist, nontraffic accident, while working for an income
V15.23      Pedal cyclist injured in collision with railway train or railway vehicle, unspecified pedal cyclist, nontraffic accident, while engaged in other types of work
V15.24      Pedal cyclist injured in collision with railway train or railway vehicle, unspecified pedal cyclist, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V15.28      Pedal cyclist injured in collision with railway train or railway vehicle, unspecified pedal cyclist, nontraffic accident, while engaged in other specified activities
V15.29      Pedal cyclist injured in collision with railway train or railway vehicle, unspecified pedal cyclist, nontraffic accident, during unspecified activity
V15.3       Pedal cyclist injured in collision with railway train or railway vehicle, person injured while boarding or alighting
V15.30      Pedal cyclist injured in collision with railway train or railway vehicle, while boarding or alighting, while engaged in sports activity
V15.31      Pedal cyclist injured in collision with railway train or railway vehicle, while boarding or alighting, while engaged in leisure activity
V15.32      Pedal cyclist injured in collision with railway train or railway vehicle, while boarding or alighting, while working for an income, while working for an income
V15.33      Pedal cyclist injured in collision with railway train or railway vehicle, while boarding or alighting, while engaged in other types of work
V15.34      Pedal cyclist injured in collision with railway train or railway vehicle, while boarding or alighting, while resting, sleeping, eating or engaging in other vital activities
V15.38      Pedal cyclist injured in collision with railway train or railway vehicle, while boarding or alighting, while engaged in other specified activities
V15.39      Pedal cyclist injured in collision with railway train or railway vehicle, while boarding or alighting, during unspecified activity
V15.4       Pedal cyclist injured in collision with railway train or railway vehicle, driver injured in traffic accident
V15.40      Pedal cyclist injured in collision with railway train or railway vehicle, driver, traffic accident, while engaged in sports activity
V15.41      Pedal cyclist injured in collision with railway train or railway vehicle, driver, traffic accident, while engaged in leisure activity
V15.42      Pedal cyclist injured in collision with railway train or railway vehicle, driver, traffic accident, while working for an income
V15.43      Pedal cyclist injured in collision with railway train or railway vehicle, driver, traffic accident, while engaged in other types of work
V15.44      Pedal cyclist injured in collision with railway train or railway vehicle, driver, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V15.48      Pedal cyclist injured in collision with railway train or railway vehicle, driver, traffic accident, while engaged in other specified activities
V15.49      Pedal cyclist injured in collision with railway train or railway vehicle, driver, traffic accident, during unspecified activity
V15.5       Pedal cyclist injured in collision with railway train or railway vehicle, passenger injured in traffic accident
V15.50      Pedal cyclist injured in collision with railway train or railway vehicle, passenger, traffic accident, while engaged in sports activity
V15.51      Pedal cyclist injured in collision with railway train or railway vehicle, passenger, traffic accident, while engaged in leisure activity
V15.52      Pedal cyclist injured in collision with railway train or railway vehicle, passenger, traffic accident, while working for an income
V15.53      Pedal cyclist injured in collision with railway train or railway vehicle, passenger, traffic accident, while engaged in other types of work
V15.54      Pedal cyclist injured in collision with railway train or railway vehicle, passenger, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V15.58      Pedal cyclist injured in collision with railway train or railway vehicle, passenger, traffic accident, while engaged in other specified activities
V15.59      Pedal cyclist injured in collision with railway train or railway vehicle, passenger, traffic accident, during unspecified activity
V15.9       Pedal cyclist injured in collision with railway train or railway vehicle, unspecified pedal cyclist injured in traffic accident
V15.90      Pedal cyclist injured in collision with railway train or railway vehicle, unspecified pedal cyclist, traffic accident, while engaged in sports activity
V15.91      Pedal cyclist injured in collision with railway train or railway vehicle, unspecified pedal cyclist, traffic accident, while engaged in leisure activity
V15.92      Pedal cyclist injured in collision with railway train or railway vehicle, unspecified pedal cyclist, traffic accident, while working for an income
V15.93      Pedal cyclist injured in collision with railway train or railway vehicle, unspecified pedal cyclist, traffic accident, while engaged in other types of work
V15.94      Pedal cyclist injured in collision with railway train or railway vehicle, unspecified pedal cyclist, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V15.98      Pedal cyclist injured in collision with railway train or railway vehicle, unspecified pedal cyclist, traffic accident, while engaged in other specified activities
V15.99      Pedal cyclist injured in collision with railway train or railway vehicle, unspecified pedal cyclist, traffic accident, during unspecified activity
V16         Pedal cyclist injured in collision with other nonmotor vehicle
V16.0       Pedal cyclist injured in collision with other nonmotor vehicle, driver injured in nontraffic accident
V16.00      Pedal cyclist injured in collision with other nonmotor vehicle, driver, nontraffic accident, while engaged in sports activity
V16.01      Pedal cyclist injured in collision with other nonmotor vehicle, driver, nontraffic accident, while engaged in leisure activity
V16.02      Pedal cyclist injured in collision with other nonmotor vehicle, driver, nontraffic accident, while working for an income
V16.03      Pedal cyclist injured in collision with other nonmotor vehicle, driver, nontraffic accident, while engaged in other types of work
V16.04      Pedal cyclist injured in collision with other nonmotor vehicle, driver, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V16.08      Pedal cyclist injured in collision with other nonmotor vehicle, driver, nontraffic accident, while engaged in other specified activities
V16.09      Pedal cyclist injured in collision with other nonmotor vehicle, driver, nontraffic accident, during unspecified activity
V16.1       Pedal cyclist injured in collision with other nonmotor vehicle, passenger injured in nontraffic accident
V16.10      Pedal cyclist injured in collision with other nonmotor vehicle, passenger, nontraffic accident, while engaged in sports activity
V16.11      Pedal cyclist injured in collision with other nonmotor vehicle, passenger, nontraffic accident, while engaged in leisure activity
V16.12      Pedal cyclist injured in collision with other nonmotor vehicle, passenger, nontraffic accident, while working for an income
V16.13      Pedal cyclist injured in collision with other nonmotor vehicle, passenger, nontraffic accident, while engaged in other types of work
V16.14      Pedal cyclist injured in collision with other nonmotor vehicle, passenger, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V16.18      Pedal cyclist injured in collision with other nonmotor vehicle, passenger, nontraffic accident, while engaged in other specified activities
V16.19      Pedal cyclist injured in collision with other nonmotor vehicle, passenger, nontraffic accident, during unspecified activity
V16.2       Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist injured in nontraffic accident
V16.20      Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist, nontraffic accident, while engaged in sports activity
V16.21      Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist, nontraffic accident, while engaged in leisure activity
V16.22      Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist, nontraffic accident, while working for an income
V16.23      Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist, nontraffic accident, while engaged in other types of work
V16.24      Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V16.28      Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist, nontraffic accident, while engaged in other specified activities
V16.29      Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist, nontraffic accident, during unspecified activity
V16.3       Pedal cyclist injured in collision with other nonmotor vehicle, person injured while boarding or alighting
V16.30      Pedal cyclist injured in collision with other nonmotor vehicle, while boarding or alighting, while engaged in sports activity
V16.31      Pedal cyclist injured in collision with other nonmotor vehicle, while boarding or alighting, while engaged in leisure activity
V16.32      Pedal cyclist injured in collision with other nonmotor vehicle, while boarding or alighting, while working for an income
V16.33      Pedal cyclist injured in collision with other nonmotor vehicle, while boarding or alighting, while engaged in other types of work
V16.34      Pedal cyclist injured in collision with other nonmotor vehicle, while boarding or alighting, while resting, sleeping, eating or engaging in other vital activities
V16.38      Pedal cyclist injured in collision with other nonmotor vehicle, while boarding or alighting, while engaged in other specified activities
V16.39      Pedal cyclist injured in collision with other nonmotor vehicle, while boarding or alighting, during unspecified activity
V16.4       Pedal cyclist injured in collision with other nonmotor vehicle, driver injured in traffic accident
V16.40      Pedal cyclist injured in collision with other nonmotor vehicle, driver, traffic accident, while engaged in sports activity
V16.41      Pedal cyclist injured in collision with other nonmotor vehicle, driver, traffic accident, while engaged in leisure activity
V16.42      Pedal cyclist injured in collision with other nonmotor vehicle, driver, traffic accident, while working for an income
V16.43      Pedal cyclist injured in collision with other nonmotor vehicle, driver, traffic accident, while engaged in other types of work
V16.44      Pedal cyclist injured in collision with other nonmotor vehicle, driver, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V16.48      Pedal cyclist injured in collision with other nonmotor vehicle, driver, traffic accident, while engaged in other specified activities
V16.49      Pedal cyclist injured in collision with other nonmotor vehicle, driver, traffic accident, during unspecified activity
V16.5       Pedal cyclist injured in collision with other nonmotor vehicle, passenger injured in traffic accident
V16.50      Pedal cyclist injured in collision with other nonmotor vehicle, passenger, traffic accident, while engaged in sports activity
V16.51      Pedal cyclist injured in collision with other nonmotor vehicle, passenger, traffic accident, while engaged in leisure activity
V16.52      Pedal cyclist injured in collision with other nonmotor vehicle, passenger, traffic accident, while working for an income
V16.53      Pedal cyclist injured in collision with other nonmotor vehicle, passenger, traffic accident, while engaged in other types of work
V16.54      Pedal cyclist injured in collision with other nonmotor vehicle, passenger, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V16.58      Pedal cyclist injured in collision with other nonmotor vehicle, passenger, traffic accident, while engaged in other specified activities
V16.59      Pedal cyclist injured in collision with other nonmotor vehicle, passenger, traffic accident, during unspecified activity
V16.9       Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist injured in traffic accident
V16.90      Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist, traffic accident, while engaged in leisure activity
V16.91      Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist, traffic accident, while engaged in sports activity
V16.92      Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist, traffic accident, while working for an income
V16.93      Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist, traffic accident, while engaged in other types of work
V16.94      Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V16.98      Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist, traffic accident, while engaged in other specified activities
V16.99      Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist, traffic accident, during unspecified activity
V17         Pedal cyclist injured in collision with fixed or stationary object
V17.0       Pedal cyclist injured in collision with fixed or stationary object, driver injured in nontraffic accident
V17.00      Pedal cyclist injured in collision with fixed or stationary object, driver, nontraffic accident, while engaged in sports activity
V17.01      Pedal cyclist injured in collision with fixed or stationary object, driver, nontraffic accident, while engaged in leisure activity
V17.02      Pedal cyclist injured in collision with fixed or stationary object, driver, nontraffic accident, while working for an income
V17.03      Pedal cyclist injured in collision with fixed or stationary object, driver, nontraffic accident, while engaged in other types of work
V17.04      Pedal cyclist injured in collision with fixed or stationary object, driver, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V17.08      Pedal cyclist injured in collision with fixed or stationary object, driver, nontraffic accident, while engaged in other specified activities
V17.09      Pedal cyclist injured in collision with fixed or stationary object, driver, nontraffic accident, during unspecified activity
V17.1       Pedal cyclist injured in collision with fixed or stationary object, passenger injured in nontraffic accident
V17.10      Pedal cyclist injured in collision with fixed or stationary object, passenger, nontraffic accident, while engaged in sports activity
V17.11      Pedal cyclist injured in collision with fixed or stationary object, passenger, nontraffic accident, while engaged in leisure activity
V17.12      Pedal cyclist injured in collision with fixed or stationary object, passenger, nontraffic accident, while working for an income
V17.13      Pedal cyclist injured in collision with fixed or stationary object, passenger, nontraffic accident, while engaged in other types of work
V17.14      Pedal cyclist injured in collision with fixed or stationary object, passenger, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V17.18      Pedal cyclist injured in collision with fixed or stationary object, passenger, nontraffic accident, while engaged in other specified activities
V17.19      Pedal cyclist injured in collision with fixed or stationary object, passenger, nontraffic accident, during unspecified activity
V17.2       Pedal cyclist injured in collision with fixed or stationary object, unspecified pedal cyclist injured in nontraffic accident
V17.20      Pedal cyclist injured in collision with fixed or stationary object, unspecified pedal cyclist, nontraffic accident, while engaged in sports activity
V17.21      Pedal cyclist injured in collision with fixed or stationary object, unspecified pedal cyclist, nontraffic accident, while engaged in leisure activity
V17.22      Pedal cyclist injured in collision with fixed or stationary object, unspecified pedal cyclist, nontraffic accident, while working for an income
V17.23      Pedal cyclist injured in collision with fixed or stationary object, unspecified pedal cyclist, nontraffic accident, while engaged in other types of work
V17.24      Pedal cyclist injured in collision with fixed or stationary object, unspecified pedal cyclist, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V17.28      Pedal cyclist injured in collision with fixed or stationary object, unspecified pedal cyclist, nontraffic accident, while engaged in other specified activities
V17.29      Pedal cyclist injured in collision with fixed or stationary object, unspecified pedal cyclist, nontraffic accident, during unspecified activity
V17.3       Pedal cyclist injured in collision with fixed or stationary object, person injured while boarding or alighting
V17.30      Pedal cyclist injured in collision with fixed or stationary object, while boarding or alighting, while engaged in sports activity
V17.31      Pedal cyclist injured in collision with fixed or stationary object, while boarding or alighting, while engaged in leisure activity
V17.32      Pedal cyclist injured in collision with fixed or stationary object, while boarding or alighting, while working for an income
V17.33      Pedal cyclist injured in collision with fixed or stationary object, while boarding or alighting, while engaged in other types of work
V17.34      Pedal cyclist injured in collision with fixed or stationary object, while boarding or alighting, while resting, sleeping, eating or engaging in other vital activities
V17.38      Pedal cyclist injured in collision with fixed or stationary object, while boarding or alighting, while engaged in other specified activities
V17.39      Pedal cyclist injured in collision with fixed or stationary object, while boarding or alighting, during unspecified activity
V17.4       Pedal cyclist injured in collision with fixed or stationary object, driver injured in traffic accident
V17.40      Pedal cyclist injured in collision with fixed or stationary object, driver, traffic accident, while engaged in sports activity
V17.41      Pedal cyclist injured in collision with fixed or stationary object, driver, traffic accident, while engaged in leisure activity
V17.42      Pedal cyclist injured in collision with fixed or stationary object, driver, traffic accident, while working for an income
V17.43      Pedal cyclist injured in collision with fixed or stationary object, driver, traffic accident, while engaged in other types of work
V17.44      Pedal cyclist injured in collision with fixed or stationary object, driver, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V17.48      Pedal cyclist injured in collision with fixed or stationary object, driver, traffic accident, while engaged in other specified activities
V17.49      Pedal cyclist injured in collision with fixed or stationary object, driver, traffic accident, during unspecified activity
V17.5       Pedal cyclist injured in collision with fixed or stationary object, passenger injured in traffic accident
V17.50      Pedal cyclist injured in collision with fixed or stationary object, passenger, traffic accident, while engaged in sports activity
V17.51      Pedal cyclist injured in collision with fixed or stationary object, passenger, traffic accident, while engaged in leisure activity
V17.52      Pedal cyclist injured in collision with fixed or stationary object, passenger, traffic accident, while working for an income
V17.53      Pedal cyclist injured in collision with fixed or stationary object, passenger, traffic accident, while engaged in other types of work
V17.54      Pedal cyclist injured in collision with fixed or stationary object, passenger, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V17.58      Pedal cyclist injured in collision with fixed or stationary object, passenger, traffic accident, while engaged in other specified activities
V17.59      Pedal cyclist injured in collision with fixed or stationary object, passenger, traffic accident, during unspecified activity
V17.9       Pedal cyclist injured in collision with fixed or stationary object, unspecified pedal cyclist injured in traffic accident
V17.90      Pedal cyclist injured in collision with fixed or stationary object, unspecified pedal cyclist, traffic accident, while engaged in sports activity
V17.91      Pedal cyclist injured in collision with fixed or stationary object, unspecified pedal cyclist, traffic accident, while engaged in leisure activity
V17.92      Pedal cyclist injured in collision with fixed or stationary object, unspecified pedal cyclist, traffic accident, while working for an income
V17.93      Pedal cyclist injured in collision with fixed or stationary object, unspecified pedal cyclist, traffic accident, while engaged in other types of work
V17.94      Pedal cyclist injured in collision with fixed or stationary object, unspecified pedal cyclist, traffic accident, while resting, sleeping, eating or engaging in other vital activities
V17.98      Pedal cyclist injured in collision with fixed or stationary object, unspecified pedal cyclist, traffic accident, while engaged in other specified activities
V17.99      Pedal cyclist injured in collision with fixed or stationary object, unspecified pedal cyclist, traffic accident, during unspecified activity
V18         Pedal cyclist injured in noncollision transport accident
V18.0       Pedal cyclist injured in noncollision transport accident, driver injured in nontraffic accident
V18.00      Pedal cyclist injured in noncollision transport accident, driver, nontraffic accident, while engaged in sports activity
V18.01      Pedal cyclist injured in noncollision transport accident, driver, nontraffic accident, while engaged in leisure activity
V18.02      Pedal cyclist injured in noncollision transport accident, driver, nontraffic accident, while working for an income
V18.03      Pedal cyclist injured in noncollision transport accident, driver, nontraffic accident, while engaged in other types of work
V18.04      Pedal cyclist injured in noncollision transport accident, driver, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V18.08      Pedal cyclist injured in noncollision transport accident, driver, nontraffic accident, while engaged in other specified activities
V18.09      Pedal cyclist injured in noncollision transport accident, driver, nontraffic accident, during unspecified activity
V18.1       Pedal cyclist injured in noncollision transport accident, passenger injured in nontraffic accident
V18.10      Pedal cyclist injured in noncollision transport accident, passenger, nontraffic accident, while engaged in sports activity
V18.11      Pedal cyclist injured in noncollision transport accident, passenger, nontraffic accident, while engaged in leisure activity
V18.12      Pedal cyclist injured in noncollision transport accident, passenger, nontraffic accident, while working for an income
V18.13      Pedal cyclist injured in noncollision transport accident, passenger, nontraffic accident, while engaged in other types of work
V18.14      Pedal cyclist injured in noncollision transport accident, passenger, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
V18.18      Pedal cyclist injured in noncollision transport accident, passenger, nontraffic accident, while engaged in other specified activities
V18.19      Pedal cyclist injured in noncollision transport accident, passenger, nontraffic accident, during unspecified activity
V18.2       Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist injured in nontraffic accident
V18.20      Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist, nontraffic accident, while engaged in sports activity
V18.21      Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist, nontraffic accident, while engaged in leisure activity
V18.22      Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist, nontraffic accident, while working for an income
V18.23      Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist, nontraffic accident, while engaged in other types of work
V18.24      Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist, nontraffic accident, while resting, sleeping, eating or engaging in other vital activities
